Temperature: 14.0853, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 13.3811, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 12.712, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 12.0764, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 11.4726, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 10.899, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 10.354, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 9.83632, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 9.3445, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 8.87728, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 8.43342, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 8.01174, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 7.61116, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 7.2306, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 6.86907, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 6.52562, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 6.19934, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 5.88937, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 5.5949, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 5.31516, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 5.0494, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 4.79693, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 4.55708, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 4.32923, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 4.11277, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 3.90713, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 3.71177, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 3.52618, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 3.34987, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 3.18238, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 3.02326, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 2.8721, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 2.72849, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 2.59207, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 2.46246, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 2.33934, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 2.22237, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 2.11126, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 2.00569, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.90541, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.81014, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.71963, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.63365, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.55197, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.47437, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.40065, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.33062, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.26409, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.20088, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.14084, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.0838, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 1.02961, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.978126, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.92922, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.882759, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.838621, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.79669, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.756855, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.719013, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.683062, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.648909, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.616463, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.58564, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.556358, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.52854, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.502113, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.477008, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.453157, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.430499, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.408974, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.388526, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.369099, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.350644, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.333112, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.316457, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.300634, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.285602, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.271322, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.257756, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.244868, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.232625, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.220993, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.209944, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.199447, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.189474, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.180001, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.171001, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.162451, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.154328, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.146612, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.139281, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.132317, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.125701, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.119416, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.113445, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.107773, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 0.102384, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Final Total Area: 32964
Final Total Wire Length: 39838
